NAME,NESTAB,NAICS2017,state,county
"Pinal County, Arizona",592,6244,04,021
"Nevada County, Arkansas",16,6244,05,099
"Clay County, Arkansas",20,6244,05,021
"Cross County, Arkansas",37,6244,05,037
"Dallas County, Arkansas",3,6244,05,039
"Drew County, Arkansas",20,6244,05,043
"Columbia County, Arkansas",20,6244,05,027
"Randolph County, Arkansas",11,6244,05,121
"Saline County, Arkansas",111,6244,05,125
"Van Buren County, Arkansas",12,6244,05,141
"Boone County, Arkansas",45,6244,05,009
"Izard County, Arkansas",9,6244,05,065
"Jasper County, Texas",93,6244,48,241
"Jefferson County, Texas",573,6244,48,245
"Kinney County, Texas",7,6244,48,271
"Oldham County, Texas",5,6244,48,359
"Lamb County, Texas",22,6244,48,279
"Lipscomb County, Texas",5,6244,48,295
"McCulloch County, Texas",10,6244,48,307
"Mason County, Texas",5,6244,48,319
"Lee County, Texas",21,6244,48,287
"Tarrant County, Texas",3928,6244,48,439
"Anderson County, Texas",71,6244,48,001
"Ellis County, Texas",271,6244,48,139
"Jackson County, Texas",27,6244,48,239
"Kerr County, Texas",41,6244,48,265
"Milam County, Texas",25,6244,48,331
"Comanche County, Texas",21,6244,48,093
"Falls County, Texas",27,6244,48,145
"Brooks County, Texas",44,6244,48,047
"Austin County, Texas",53,6244,48,015
"Nueces County, Texas",729,6244,48,355
"Colorado County, Texas",29,6244,48,089
"San Patricio County, Texas",136,6244,48,409
"San Saba County, Texas",12,6244,48,411
"Rains County, Texas",17,6244,48,379
"Randall County, Texas",163,6244,48,381
"Real County, Texas",0,6244,48,385
"Schleicher County, Texas",6,6244,48,413
"Zavala County, Texas",43,6244,48,507
"Calhoun County, Texas",22,6244,48,057
"Carson County, Texas",4,6244,48,065
"Freestone County, Texas",22,6244,48,161
"Goliad County, Texas",8,6244,48,175
"Hamilton County, Texas",15,6244,48,193
"Hardeman County, Texas",4,6244,48,197
"Mitchell County, Texas",10,6244,48,335
"Titus County, Texas",54,6244,48,449
"Lavaca County, Texas",41,6244,48,285
"Liberty County, Texas",181,6244,48,291
"Terry County, Texas",17,6244,48,445
"Wise County, Texas",67,6244,48,497
"Matagorda County, Texas",131,6244,48,321
"Pecos County, Texas",16,6244,48,371
"Robertson County, Texas",32,6244,48,395
"Rockwall County, Texas",113,6244,48,397
"Rusk County, Texas",45,6244,48,401
"Taylor County, Texas",199,6244,48,441
"Throckmorton County, Texas",0,6244,48,447
"Trinity County, Texas",19,6244,48,455
"Walker County, Texas",94,6244,48,471
"Wood County, Texas",38,6244,48,499
"Bandera County, Texas",36,6244,48,019
"Aransas County, Texas",18,6244,48,007
"Childress County, Texas",10,6244,48,075
"Cochran County, Texas",3,6244,48,079
"Comal County, Texas",121,6244,48,091
"Coryell County, Texas",74,6244,48,099
"Houston County, Texas",34,6244,48,225
"Moore County, Texas",22,6244,48,341
"Navarro County, Texas",77,6244,48,349
"Potter County, Texas",268,6244,48,375
"San Augustine County, Texas",7,6244,48,405
"Scurry County, Texas",21,6244,48,415
"Starr County, Texas",399,6244,48,427
"Upton County, Texas",4,6244,48,461
"Bastrop County, Texas",84,6244,48,021
"Brown County, Texas",40,6244,48,049
"Hall County, Texas",3,6244,48,191
"Bee County, Texas",37,6244,48,025
"Franklin County, Texas",16,6244,48,159
"Frio County, Texas",42,6244,48,163
"Lampasas County, Texas",22,6244,48,281
"Rutland County, Vermont",97,6244,50,021
"Orleans County, Vermont",85,6244,50,019
"Grand Isle County, Vermont",14,6244,50,013
"Windsor County, Vermont",92,6244,50,027
"Orange County, Vermont",46,6244,50,017
"Chittenden County, Vermont",198,6244,50,007
"Lamoille County, Vermont",56,6244,50,015
"Franklin County, Vermont",185,6244,50,011
"Independence County, Arkansas",38,6244,05,063
"Lincoln County, Arkansas",8,6244,05,079
"Logan County, Arkansas",31,6244,05,083
"Grant County, Arkansas",14,6244,05,053
"Crittenden County, Arkansas",261,6244,05,035
"Franklin County, Arkansas",21,6244,05,047
"Faulkner County, Arkansas",160,6244,05,045
"Pike County, Arkansas",6,6244,05,109
"Jefferson County, Arkansas",177,6244,05,069
"Marion County, Arkansas",7,6244,05,089
"Montgomery County, Arkansas",13,6244,05,097
"Scott County, Arkansas",22,6244,05,127
"Searcy County, Arkansas",9,6244,05,129
"Sebastian County, Arkansas",233,6244,05,131
"Crawford County, Arkansas",68,6244,05,033
"Benton County, Arkansas",317,6244,05,007
"Chicot County, Arkansas",18,6244,05,017
